     file  region                                  year wage_ratio
     <chr> <chr>                                  <int>      <dbl>
 192 at20h [13]Wien                                2020     NA    
 193 at20h [21]Kärnten                             2020     NA    
 194 at20h [22]Steiermark                          2020     NA    
 195 at20h [31]Oberösterreich                      2020     NA    
 196 at20h [32]Salzburg                            2020     NA    
 197 at20h [33]Tirol                               2020     NA    
 198 at20h [34]Vorarlberg                          2020     NA    
 199 at94h [111]AT111 - Mittelburgenland           1994      1.28 
 200 at94h [112]AT112 - Nordburgenland             1994      1.07 
 201 at94h [113]AT113 - Südburgenland              1994      1.18 
 202 at94h [121]AT121 - Mostviertel-Eisenwurzen    1994     NA    
 203 at94h [122]AT122 - Niederösterreich-Süd       1994     NA    
 204 at94h [123]AT123 - Sankt Pölten               1994      1.00 
 205 at94h [124]AT124 - Waldviertel                1994     NA    
 206 at94h [125]AT125 - Weinviertel                1994      1.35 
 207 at94h [126]AT126 - Wiener Umland/Nordteil     1994      1.16 
 208 at94h [127]AT127 - Wiener Umland/Südteil      1994      1.07 
 209 at94h [131]AT131 - Wien                       1994     NA    
 210 at94h [211]AT211 - Klagenfurt-Villach         1994     NA    
 211 at94h [212]AT212 - Oberkärnten                1994      0.990
 212 at94h [213]AT213 - Unterkärnten               1994      1.06 
 213 at94h [221]AT221 - Graz                       1994      1.25 
 214 at94h [222]AT222 - Liezen                     1994      2.36 
 215 at94h [223]AT223 - Östliche Obersteiermark    1994      1.20 
 216 at94h [224]AT224 - Oststeiermark              1994      0.924
 217 at94h [225]AT225 - West- und Südsteiermark    1994      1.12 
 218 at94h [226]AT226 - Westliche Obersteiermark   1994      1.11 
 219 at94h [311]AT311 - Innviertel                 1994      1.08 
 220 at94h [312]AT312 - Linz-Wels                  1994      1.08 
 221 at94h [313]AT313 - Mühlviertel                1994      1.06 
 222 at94h [314]AT314 - Steyr-Kirchdorf            1994      1.19 
 223 at94h [315]AT315 - Traunviertel               1994      1.38 
 224 at94h [321]AT321 - Lungau                     1994      0.909
 225 at94h [322]AT322 - Pinzgau-Pongau             1994      1.39 
 226 at94h [323]AT323 - vSalzburg und Umgebung     1994      1.13 
 227 at94h [331]AT331 - Außerfern                  1994      1.05 
 228 at94h [332]AT332 - Innsbruck                  1994     NA    
 229 at94h [333]AT333 - Osttirol                   1994      1.25 
 230 at94h [334]AT334 - Tiroler Oberland           1994      1.05 
 231 at94h [335]AT335 - Tiroler Unterland          1994      1.02 
 232 at94h [341]AT341 - Bludenz-Bregenzer Wald     1994      1.12 
 233 at94h [342]AT342 - Rheintal-Bodenseegebiet    1994     NA    
 234 at95h [111]AT111 - Mittelburgenland           1995      1.18 
 235 at95h [112]AT112 - Nordburgenland             1995      1.13 
 236 at95h [113]AT113 - Südburgenland              1995      1.14 
 237 at95h [121]AT121 - Mostviertel-Eisenwurzen    1995     NA    
 238 at95h [122]AT122 - Niederösterreich-Süd       1995     NA    
 239 at95h [123]AT123 - Sankt Pölten               1995      1.10 
 240 at95h [124]AT124 - Waldviertel                1995      1.29 
 241 at95h [125]AT125 - Weinviertel                1995      1.10 
 242 at95h [126]AT126 - Wiener Umland/Nordteil     1995     NA    
 243 at95h [127]AT127 - Wiener Umland/Südteil      1995      1.03 
 244 at95h [131]AT131 - Wien                       1995     NA    
 245 at95h [210]AT21 - Kärnten                     1995      0.108
 246 at95h [211]AT211 - Klagenfurt-Villach         1995      1.17 
 247 at95h [212]AT212 - Oberkärnten                1995      1.18 
 248 at95h [213]AT213 - Unterkärnten               1995      1.06 
 249 at95h [221]AT221 - Graz                       1995     NA    
 250 at95h [222]AT222 - Liezen                     1995      0.769
 251 at95h [223]AT223 - Östliche Obersteiermark    1995      1.12 
 252 at95h [224]AT224 - Oststeiermark              1995     NA    
 253 at95h [225]AT225 - West- und Südsteiermark    1995      1.13 
 254 at95h [226]AT226 - Westliche Obersteiermark   1995      1.14 
 255 at95h [311]AT311 - Innviertel                 1995      1.09 
 256 at95h [312]AT312 - Linz-Wels                  1995      1.15 
 257 at95h [313]AT313 - Mühlviertel                1995      1.13 
 258 at95h [314]AT314 - Steyr-Kirchdorf            1995     NA    
 259 at95h [315]AT315 - Traunviertel               1995     NA    
 260 at95h [321]AT321 - Lungau                     1995      0.584
 261 at95h [322]AT322 - Pinzgau-Pongau             1995      1.30 
 262 at95h [323]AT323 - vSalzburg und Umgebung     1995      1.14 
 263 at95h [331]AT331 - Außerfern                  1995      1.10 
 264 at95h [332]AT332 - Innsbruck                  1995      1.18 
 265 at95h [333]AT333 - Osttirol                   1995     NA    
 266 at95h [334]AT334 - Tiroler Oberland           1995      1.26 
 267 at95h [335]AT335 - Tiroler Unterland          1995      0.933
 268 at95h [341]AT341 - Bludenz-Bregenzer Wald     1995     NA    
 269 at95h [342]AT342 - Rheintal-Bodenseegebiet    1995      0.940
 270 at96h [111]AT111 - Mittelburgenland           1996      1.25 
 271 at96h [112]AT112 - Nordburgenland             1996      1.27 
 272 at96h [113]AT113 - Südburgenland              1996      1.06 
 273 at96h [121]AT121 - Mostviertel-Eisenwurzen    1996     NA    
 274 at96h [122]AT122 - Niederösterreich-Süd       1996      1.20 
 275 at96h [123]AT123 - Sankt Pölten               1996      0.959
 276 at96h [124]AT124 - Waldviertel                1996     NA    
 277 at96h [125]AT125 - Weinviertel                1996      1.32 
 278 at96h [126]AT126 - Wiener Umland/Nordteil     1996      0.957
 279 at96h [127]AT127 - Wiener Umland/Südteil      1996      0.966
 280 at96h [131]AT131 - Wien                       1996     NA    
 281 at96h [211]AT211 - Klagenfurt-Villach         1996      1.36 
 282 at96h [212]AT212 - Oberkärnten                1996      1.16 
 283 at96h [213]AT213 - Unterkärnten               1996      0.945
 284 at96h [221]AT221 - Graz                       1996      1.21 
 285 at96h [222]AT222 - Liezen                     1996      0.932
 286 at96h [223]AT223 - Östliche Obersteiermark    1996      1.23 
 287 at96h [224]AT224 - Oststeiermark              1996      1.16 
 288 at96h [225]AT225 - West- und Südsteiermark    1996      1.04 
 289 at96h [226]AT226 - Westliche Obersteiermark   1996      1.03 
 290 at96h [311]AT311 - Innviertel                 1996      1.14 
 291 at96h [312]AT312 - Linz-Wels                  1996      1.24 
 292 at96h [313]AT313 - Mühlviertel                1996      1.12 
 293 at96h [314]AT314 - Steyr-Kirchdorf            1996      1.31 
 294 at96h [315]AT315 - Traunviertel               1996      1.16 
 295 at96h [321]AT321 - Lungau                     1996      0.903
 296 at96h [322]AT322 - Pinzgau-Pongau             1996      1.14 
 297 at96h [323]AT323 - vSalzburg und Umgebung     1996      1.06 
 298 at96h [331]AT331 - Außerfern                  1996      1.12 
 299 at96h [332]AT332 - Innsbruck                  1996     NA    
 300 at96h [333]AT333 - Osttirol                   1996     NA    
 301 at96h [334]AT334 - Tiroler Oberland           1996      1.33 
 302 at96h [335]AT335 - Tiroler Unterland          1996     NA    
 303 at96h [341]AT341 - Bludenz-Bregenzer Wald     1996      1.18 
 304 at96h [342]AT342 - Rheintal-Bodenseegebiet    1996      1.11 
 305 at96h <NA>                                    1996      0.873
 306 at97h [111]AT111 - Mittelburgenland           1997      1.97 
 307 at97h [112]AT112 - Nordburgenland             1997      0.921
 308 at97h [113]AT113 - Südburgenland              1997      1.05 
 309 at97h [121]AT121 - Mostviertel-Eisenwurzen    1997      1.04 
 310 at97h [122]AT122 - Niederösterreich-Süd       1997      1.33 
 311 at97h [123]AT123 - Sankt Pölten               1997      1.03 
 312 at97h [124]AT124 - Waldviertel                1997      1.62 
 313 at97h [125]AT125 - Weinviertel                1997      1.29 
 314 at97h [126]AT126 - Wiener Umland/Nordteil     1997      0.941
 315 at97h [127]AT127 - Wiener Umland/Südteil      1997      0.993
 316 at97h [131]AT131 - Wien                       1997     NA    
 317 at97h [211]AT211 - Klagenfurt-Villach         1997      1.29 
 318 at97h [212]AT212 - Oberkärnten                1997      1.10 
 319 at97h [213]AT213 - Unterkärnten               1997     NA    
 320 at97h [221]AT221 - Graz                       1997      1.08 
 321 at97h [222]AT222 - Liezen                     1997      1.03 
 322 at97h [223]AT223 - Östliche Obersteiermark    1997      1.07 
 323 at97h [224]AT224 - Oststeiermark              1997     NA    
 324 at97h [225]AT225 - West- und Südsteiermark    1997      1.03 
 325 at97h [226]AT226 - Westliche Obersteiermark   1997      1.12 
 326 at97h [311]AT311 - Innviertel                 1997     NA    
 327 at97h [312]AT312 - Linz-Wels                  1997      1.19 
 328 at97h [313]AT313 - Mühlviertel                1997      1.06 
 329 at97h [314]AT314 - Steyr-Kirchdorf            1997      1.12 
 330 at97h [315]AT315 - Traunviertel               1997      1.12 
 331 at97h [321]AT321 - Lungau                     1997      1.05 
 332 at97h [322]AT322 - Pinzgau-Pongau             1997      1.16 
 333 at97h [323]AT323 - vSalzburg und Umgebung     1997     NA    
 334 at97h [331]AT331 - Außerfern                  1997      1.28 
 335 at97h [332]AT332 - Innsbruck                  1997      1.57 
 336 at97h [333]AT333 - Osttirol                   1997      1.26 
 337 at97h [334]AT334 - Tiroler Oberland           1997      1.23 
 338 at97h [335]AT335 - Tiroler Unterland          1997      1.12 
 339 at97h [341]AT341 - Bludenz-Bregenzer Wald     1997      0.989
 340 at97h [342]AT342 - Rheintal-Bodenseegebiet    1997      1.07 
 341 at97h <NA>                                    1997      1.11 
 342 at98h [111]AT111 - Mittelburgenland           1998      1.28 
 343 at98h [112]AT112 - Nordburgenland             1998      1.02 
 344 at98h [113]AT113 - Südburgenland              1998      1.08 
 345 at98h [121]AT121 - Mostviertel-Eisenwurzen    1998      1.04 
 346 at98h [122]AT122 - Niederösterreich-Süd       1998     NA    
 347 at98h [123]AT123 - Sankt Pölten               1998      1.30 
 348 at98h [124]AT124 - Waldviertel                1998     NA    
 349 at98h [125]AT125 - Weinviertel                1998      1.30 
 350 at98h [126]AT126 - Wiener Umland/Nordteil     1998      0.932
 351 at98h [127]AT127 - Wiener Umland/Südteil      1998      1.26 
 352 at98h [131]AT131 - Wien                       1998     NA    
 353 at98h [210]AT21 - Kärnten                     1998      0.823
 354 at98h [211]AT211 - Klagenfurt-Villach         1998     NA    
 355 at98h [212]AT212 - Oberkärnten                1998      1.27 
 356 at98h [213]AT213 - Unterkärnten               1998      0.831
 357 at98h [221]AT221 - Graz                       1998      1.03 
 358 at98h [222]AT222 - Liezen                     1998      0.983
