cleaned_region_x,year,perc_im
abruzzo,1992,18.573626857613732
abruzzo,1994,9.825979368291335
abruzzo,1996,53.544380357697975
abruzzo,2001,0.4953212861586073
abruzzo,2006,143.3323790965219
abruzzo,2008,9.549905489253522
abruzzo,2013,8.400537262981285
abruzzo,2018,154.32607417616296
alsace,1993,180.59134049927158
alsace,1997,344.68449786718276
alsace,2002,133.97166084894195
alsace,2007,183.8860373462361
alsace,2012,488.7466539191422
alsace,2017,373.78360562231285
andalucia,1993,58.261985731611794
andalucia,1996,108.27808557473794
andalucia,2000,11.57437613562548
andalucia,2004,45.161251393077606
andalucia,2008,50.405228287899725
andalucia,2011,108.03698674191149
andalucia,2015,67.73579794660314
andalucia,2016,66.69967008922154
andalucia,2019,239.76117078236933
aquitaine,1993,114.27823887439729
aquitaine,1997,181.7649624457829
aquitaine,2002,96.97667865576054
aquitaine,2007,181.04912564085032
aquitaine,2012,302.67238526491366
aquitaine,2017,367.7992754356432
aragon,1993,47.42247850971034
aragon,1996,114.58673891192521
aragon,2000,11.925677554047745
aragon,2004,46.06918593108084
aragon,2008,48.8888246096266
aragon,2011,107.99448103989786
aragon,2015,68.0694784556588
aragon,2016,68.02749228653315
aragon,2019,273.1887782477786
auvergne,1993,103.4244198264954
auvergne,1997,167.46315732466826
auvergne,2002,79.36074576105905
auvergne,2007,160.10001976787768
auvergne,2012,372.03122797386516
auvergne,2017,338.3859234635324
basilicata,1992,13.476479916826168
basilicata,1994,5.839713854430086
basilicata,1996,57.51678079931773
basilicata,2001,0.3932046393707704
basilicata,2006,130.8063580237362
basilicata,2008,10.982550357750714
basilicata,2013,8.06618562809088
basilicata,2018,98.31328007487382
berlin,1990,0
berlin,1994,11.1048664828177
berlin,1998,71.03389170605452
berlin,2002,108.59035804159224
berlin,2005,67.6913573561895
berlin,2009,6.962512586723595
berlin,2013,61.434198681844094
berlin,2017,257.5057077352873
bourgogne,1993,144.76658657037586
bourgogne,1997,249.6748075106452
bourgogne,2002,133.10315844787635
bourgogne,2007,189.6574420871671
bourgogne,2012,385.02712284567
bourgogne,2017,433.7991296978554
brandenburg,1990,0
brandenburg,1994,14.807003958538948
brandenburg,1998,75.73925517593442
brandenburg,2002,124.9685101071929
brandenburg,2005,68.90880040727707
brandenburg,2009,7.072507861491811
brandenburg,2013,59.30392189894428
brandenburg,2017,402.87136795743794
bremen,1990,0
bremen,1994,14.77066915620967
bremen,1998,91.56267565397705
bremen,2002,133.79287425165379
bremen,2005,83.11540995747139
bremen,2009,9.006362181402631
bremen,2013,69.99976217787413
bremen,2017,234.7906129156136
bretagne,1993,93.66054172428437
bretagne,1997,134.0410250998989
bretagne,2002,66.4979428623948
bretagne,2007,170.50149753354447
bretagne,2012,292.4903238073689
bretagne,2017,372.3099981114922
calabria,1992,17.42576760728187
calabria,1994,9.622424245293514
calabria,1996,51.93001510907252
calabria,2001,0.2626997608484266
calabria,2006,136.55328556734182
calabria,2008,13.141084391094529
calabria,2013,9.29091626958478
calabria,2018,98.22099832321658
campania,1992,19.395462953265564
campania,1994,10.476078785123782
campania,1996,50.8244432742498
campania,2001,0.29535011429923175
campania,2006,152.35796791414097
campania,2008,10.595815222016027
campania,2013,10.936808684814114
campania,2018,81.33144613600844
canarias,1993,46.7189810052633
canarias,1996,95.90514326717397
canarias,2000,10.151043593880864
canarias,2004,43.764137315471025
canarias,2008,46.17811726906033
canarias,2011,102.34746334069055
canarias,2015,64.33891974723194
canarias,2016,64.05507739569393
canarias,2019,231.65607859399026
cantabria,1993,51.58892262189814
cantabria,1996,119.4529752308996
cantabria,2000,14.013959252083161
cantabria,2004,62.19423838733212
cantabria,2008,65.86093600764087
cantabria,2011,110.63469626135343
cantabria,2015,76.42848873508017
cantabria,2016,76.66021508841419
cantabria,2019,275.75022360613787
castilla la mancha,1993,61.38006181766834
castilla la mancha,1996,122.25035515565062
castilla la mancha,2000,13.700278260452523
castilla la mancha,2004,58.435524069648345
castilla la mancha,2008,65.07162292356351
castilla la mancha,2011,120.72541228151219
castilla la mancha,2015,79.73274818325221
castilla la mancha,2016,80.05251099467515
castilla la mancha,2019,296.0696363822744
castilla y leon,1993,57.94318826099009
castilla y leon,1996,121.62059560599371
castilla y leon,2000,13.704175934969596
castilla y leon,2004,60.7573487121762
castilla y leon,2008,65.93280108673775
castilla y leon,2011,119.37745489055459
castilla y leon,2015,79.06358280377847
castilla y leon,2016,80.89975937377297
castilla y leon,2019,342.8954455786206
cataluna,1993,37.331623089300074
cataluna,1996,73.83966399379686
cataluna,2000,7.420584110163489
cataluna,2004,27.48371299430713
cataluna,2008,79.66602715207728
cataluna,2011,69.62413481746489
cataluna,2015,25.493191543200552
cataluna,2016,28.122967467541095
cataluna,2019,101.09549311850682
charentes,1993,102.20167986228101
charentes,1997,163.98236152248998
charentes,2002,83.19075592265115
charentes,2007,178.04312875899726
charentes,2012,305.96159146401783
charentes,2017,389.7389712153518
ciudad autonoma de ceuta,1993,61.742623984076964
ciudad autonoma de ceuta,1996,123.90805022607844
ciudad autonoma de ceuta,2000,10.95626765364761
ciudad autonoma de ceuta,2004,69.05111635656762
ciudad autonoma de ceuta,2008,72.70351044939217
ciudad autonoma de ceuta,2011,130.53234000371722
ciudad autonoma de ceuta,2015,88.02260114572145
ciudad autonoma de ceuta,2016,92.99836186446112
ciudad autonoma de ceuta,2019,240.67076986902148
ciudad autonoma de ceuta y melill,1993,61.742623984076964
ciudad autonoma de ceuta y melill,1996,123.90805022607844
ciudad autonoma de ceuta y melill,2000,10.95626765364761
